,cid,status,user_name,movie_code,votes,rate_stars,date,content,add_time,customer
0,1348293405,1,影志,4920389,9782,5,2018-03-27 23:02:34,斯皮尔伯格把他对电影的梦想、热心、爱与情怀，浓缩到这部片子，通过极具年代感的经典电影和角色，又并茂高科技的现代游戏闯关，他拿手的、专注的、想诉说的都在这里给影迷情倾盆呈现，并在最后一句“谢谢你玩我的游戏”推向高潮，就像在银幕前看着他对我们说“谢谢你看我的电影”…泪奔,2018-09-21 14:56:32.932675,0
1,1345018216,1,翻滚吧！蛋堡,4920389,8454,5,2018-03-21 17:08:18,游戏宅和影迷的春药！还原《闪灵》那场戏看到要爆炸了！值得去电影院刷十遍！,2018-09-21 14:56:33.020567,0
2,1348402447,1,凌睿,4920389,6273,5,2018-03-28 08:35:46,请不要在彩蛋期间插播电影！（普通导演是在电影期间插播广告，二逼导演是在广告期间插播电影，文艺导演是在电影期间插播彩蛋，牛逼导演是在彩蛋期间插播电影） 层出不穷的惊喜和反转，无处不在的彩蛋和致敬。这是导演送给影迷的最好礼物，也是他写给电影的一封情书。片尾无彩蛋，因为电影本身就是彩蛋,2018-09-21 14:56:33.026721,0
3,1346991805,1,杨欢喜Metiche,4920389,5693,5,2018-03-26 23:47:07,全场喊牛逼！没啥是斯皮尔伯格做不到的了，在一个商业片中把所有的特效情怀和爱结合得完整而彻底，让影迷乐迷游戏迷接二连三地高潮，即使都不是也能看得花枝乱颤，这样应该算是完美了吧。而最后也竟然默默抹了把眼泪…Reality is the only thing that is real.,2018-09-21 14:56:33.032252,0
4,1349303778,1,觉,4920389,4885,3,2018-03-30 00:53:26,走马观花的IP大赏，剧情人物基本不通，鸡汤也撒得不知所云。适合跟塑料姐妹们一起假嗨,2018-09-21 14:56:33.036727,0
5,1350383009,1,大島,4920389,5285,5,2018-03-31 22:52:01,好想在有生之年玩一场全民大战马化腾,2018-09-21 14:56:33.041679,0
6,1345079255,1,风间隼,4920389,4849,5,2018-03-21 19:45:37,公民凯恩串起了闪灵、鬼娃、高达、哥斯拉、亚基拉、街霸、铁巨人、金刚、龟波气功……，加上迪斯科音乐和各种游戏卡，简直是是一部全球世纪流行文化编年史。感谢撕皮儿剥壳，把我们这些大孩子一把拉回追看《回到未来》和《夺宝奇兵》的神奇年代，跟着逼真的特技和癫狂的想象去重温我们的“玫瑰花蕾“。,2018-09-21 14:56:33.046095,0
7,1349220486,1,桃桃淘电影,4920389,4302,4,2018-03-29 22:22:43,9。我爱这部电影，就好像我的梦想是能进入马丁·斯科塞斯的《出租车司机》，看罗伯特德尼罗枪杀嫖客和鸡头，营救朱迪·福斯特。所以，我爱这部电影。,2018-09-21 14:56:33.050625,0
8,1349384439,1,天蝎小猪,4920389,3754,5,2018-03-30 09:35:38,这片讲述了“绿洲五人组”寻找终极彩蛋之旅：第一关告诉你，有时退一步，就是海阔天空；第二关告诉你，人生很短暂，关键的一步一定要迈对；第三关告诉你，不以输赢论英雄，找到乐趣、享受人生；最终关告诉你，别沉迷，活在当下。片中各种游戏、动漫、影视彩蛋信息量太大，必须多刷！,2018-09-21 14:56:33.055713,0
9,948768567,1,法兰西胶片,4920389,3394,5,2018-03-19 23:08:06,它是你们的情书，我的命。,2018-09-21 14:56:33.060033,0
10,1348410560,1,看电影吧,4920389,2214,1,2018-03-28 09:07:03,好莱坞把圈钱手段做到了极致，情怀，英雄，动漫，怀旧，复古只要能圈钱，什么都行，这部片子，就像一个大杂烩，让任何人都能找到曾经喜欢的东西，可是太着痕迹，梗已用烂，让人审美疲劳了，总是卖这些，一次两次行，次次这样，也不怪好莱坞特效片子在国内票房越来越不举。,2018-09-21 14:56:33.065128,1
11,1343899702,1,羚羊的灵魂,4920389,2591,5,2018-03-19 13:21:14,恕我直言，比老斯会拍爆米花电影的人还没出生吧？玩梗玩的贼6，金刚、侏罗纪、异形、哥斯拉......闪灵那段更是惊艳到爆炸，惊喜一个接一个的来！还有能不能轻虐我们钢铁巨人啊，心疼死了～,2018-09-21 14:56:33.069296,0
