user_id,status,user_name,intro,followers,follow,watched_movies
tjz230,1,影志," 豆瓣商务合作 请微信联系 YOGA YANG 添加时请备注 影志 不接评分  All Time Favor Movie Top10 英国病人 爱在黎明破晓前 天堂电影院 伴我同行 暖暖内含光 天鹅绒金矿 布达佩斯大饭店 甜蜜蜜 跳出我天地  ╮(╯▽╰)╭ 喜欢的华语电影 [香港] 甜蜜蜜 春光乍泄 志明与春娇 卧虎藏龙 花样年华 麦兜故事 重庆森林 天水围的日与夜 东邪西毒 青蛇 金枝玉叶[台湾] 喜宴 童年往事 一一 暗恋桃花源[大陆] 活着 阳光灿烂的日子 霸王别姬 那山那人那狗 我的父亲母亲 鬼子来了 我们俩 头像短片 http   movie douban com subject 1756584  业余求片小助手 不要豆邮求片名 直接在广播里 我就好 为了避免过于打扰友邻 抱歉每天只能帮忙转播一条 请在求助时留意一下 非常感谢  心中的好电影 启迪 刷新认识或启迪心智共鸣 观念一致或情感共鸣娱乐 哪怕拍的差 观影体验不错也有它的价值●  大众影迷｜动画长片｜短片｜歌舞片｜浪漫轻喜｜童年｜女性｜英国电影｜恐怖片｜真人秀●  奥斯卡｜Pixar｜老友记｜IMDb｜IMAX｜下片如山倒看片如抽丝｜截图党｜放映员●  阿德曼fans｜超级无敌掌门狗｜羊咩咩｜麦兜●  80后｜湘西｜人来疯｜无下限｜宅｜晚睡强迫症｜拖延｜选择恐惧症●  健身｜KTV｜欢乐谷｜用生命刷豆瓣｜爱狗●  图片控｜榜单控｜豆列｜电影海报｜OST●  迷宫控｜珠峰控｜世贸双塔控｜僵尸控｜点很奇怪●  无辣不欢｜喝酒上脸｜火锅｜串串香●  李安｜特吕弗｜Wes Anderson｜Spike Jonze｜Ewan McGregor｜Ralph Fiennes｜River Phoenix｜Meryl Streep｜Kate Winslet｜Jonathan Rhys Meyers｜郭晓冬｜濮存昕｜赵文瑄｜林家栋｜周迅微博 weibo com river230虾米 www xiami com u 3276615 ",101317,789,4039
7542909,1,翻滚吧！蛋堡,"撕扯吧 趁青春未退役前 谁在哭 他在时间门外 ",4706,378,2346
lingrui1995,1,凌睿,"我在此发毒誓 我在豆瓣上从没收钱写影评 否则五雷轰顶 死无全尸                                                               微信 203929434 添加好友请备注 豆瓣  知乎 zhihu com people lingrui95微博  凌睿                                                               姓名 凌睿性别 男生日 1995年1月2日家乡 成都居住地 南京爱好 电影 摄影 旅行长篇影评 https   dou bz 34L2jH短评 https   dou bz 4x4QKU 自我介绍 https   dou bz 4yPst2 自我介绍2 https   dou bz 2qOTbS 俄罗斯游记 https   dou bz 1T97y4 尼泊尔游记 https   dou bz 0JVCJn 新疆游记 https   dou bz 3qlP1u摄影作品 https   dou bz 47omXa                                                              文章已授权电影爬虫 李小军的电影日常",23759,74,2592
metiche,1,杨欢喜Metiche,"新浪微博  杨欢喜的杨任性更新的公众号 咪喜咪喜糖蒜广播 天糖电影苑 人活着的目的呢 或许就是为了寻找同类吧 ",2196,1662,1805
kar200,1,觉,"Squeak ",646,192,2562
auxt,1,大島,"我的公号 http   t cn R0SkBDu笑笑更像你自己",91945,547,807
fengjiansun,1,风间隼,"动作片粉 目前追看港台旧武侠片和日本剑戟片 西部 黑色 欧洲剑侠待补 人类学原教旨主义者 拜科学教徒勿近 敬告关注我的学术仔 我有时会用烂片刷屏 敬告关注我的影迷们 我有时会忍不住骄矜 当然 你也可以把我当作一座桥 望见桥那边的风景 ",25319,360,2649
qijiuzhiyue,1,桃桃淘电影," 新浪微博 桃桃淘电影 http   t sina com cn qijiuziyue  微信公众账号  ttfilm 直接搜索 桃桃淘电影 即可 这个微信超牛逼 不关注很可惜我是桃桃林林 也就是桃桃林林小淘淘 还被叫做桃姐头像即本人 真 可爱 宅 懒 馋 滑  网路的space 多少吃橙的朋友 豆瓣看电影比我多的人大把抓 汗  考据狂 整理癖 强迫症  目标 人肉电影资料库  ~~(ˇˍˇ  (▔ ﹏ ▔)  (^o^) ( ⊙ o ⊙ ) o(╯□╰)o>◇<♪( ´θ｀)ノヽ(✿◕ ∀◕)☆ 不接广告 谢谢  ",149891,246,10403
zhutong,1,天蝎小猪,"微博 weibo com tianxiexiaozhu微信 tianxiexiaozhu 加我请注明 豆瓣                                                        我站在时间的彼方凝视你离去的方向 ",24126,2000,2289
flxjp,1,法兰西胶片,"微博 http   weibo com 1745237355人生是没有意义的 知道这一点 人生才有那么点意义 文字造就权威 影像如此公平 香港电影就像我的衣食父母 但是儿大了 总要过独立的生活 并不是因为你总是孤独 你是真的喜欢孤独 梦境中的一切都是在保护现实中虚弱 懦弱 羸弱的你 逆来顺受地积极生活 已婚 为父 跟儿子学流口水满地爬 像个大人那样 被儿子殴打 奥特光线十级摧残       流经之地 1  看电影  香港电影  看电影 午夜场 杂志 2008 7 2011 2 2 崔永元 新电影传奇  2011 5 2011 11 3 腾讯网 2011 11 2013 3 4 凤凰网 2013 4 2016 4 5 橘子娱乐 2016 4 2017 3 6 第11届FIRST影展初审 2017夏 7 巴塞电影 2017 8 2018 1 8 毒舌电影 2018 1至今 ",7540,334,5716
